run1,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,12550,150,4003,145,12083,145,3901,134,12404,146,3985,143
jasper,10864,466,1798,40,11213,474,1865,56,10608,470,1753,39
readelf,2169,53,177,31,1908,50,150,29,2216,54,182,32
objdump,10491,304,1204,97,10032,279,1096,99,9674,269,1057,94
tcpdump,24932,487,3911,153,24996,480,4064,161,25416,489,4040,157
tiff2pdf,13094,293,1913,19,13002,287,1924,14,13022,278,1912,19
tiff2ps,8872,194,1126,13,9493,209,1244,13,8992,194,1157,14
xmllint,7936,302,713,17,8056,306,724,16,8010,305,705,10
sum,90908,2249,14845,515,90783,2230,14968,522,90342,2205,14791,508
run2,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,11926,141,3878,134,11953,145,3882,134,11785,145,3863,134
jasper,11349,483,1897,44,10969,474,1802,45,11120,474,1857,50
readelf,1906,50,146,27,1935,50,148,24,1934,50,149,27
objdump,8795,253,960,73,9879,275,1054,92,10582,309,1193,95
tcpdump,26861,534,4236,153,25060,486,3938,153,24389,470,3882,158
tiff2pdf,12780,274,1827,19,12666,275,1825,19,12502,272,1780,16
tiff2ps,8888,193,1149,18,8749,191,1130,13,9211,205,1183,16
xmllint,8069,306,725,17,7832,301,712,15,7860,301,718,15
sum,90574,2234,14818,485,89043,2197,14491,495,89383,2226,14625,511
run3,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,11659,141,3842,134,11881,145,3869,134,12806,149,4031,143
jasper,10357,462,1706,45,10702,471,1761,46,10625,471,1756,43
readelf,1993,50,153,27,1860,49,138,21,2399,56,216,35
objdump,9994,277,1097,98,9387,275,1022,91,10155,286,1099,99
tcpdump,25280,513,4053,153,25233,509,4004,136,24746,453,3931,156
tiff2pdf,13294,285,1956,21,13210,290,1911,22,12740,276,1822,16
tiff2ps,8942,190,1145,11,9091,198,1176,13,9116,200,1172,14
xmllint,7972,309,691,12,7916,302,714,15,8048,306,717,16
sum,89491,2227,14643,501,89280,2239,14595,478,90635,2197,14744,522
run4,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,11849,145,3869,134,12416,146,3985,144,11656,141,3842,134
jasper,11005,475,1794,43,10891,473,1792,44,10501,465,1743,35
readelf,2164,53,180,30,1982,51,154,28,1959,50,147,25
objdump,10096,281,1073,92,9932,274,1083,101,10515,294,1130,98
tcpdump,25444,498,3982,167,25174,505,3956,134,24396,465,3712,147
tiff2pdf,13272,286,1953,19,13352,288,1974,16,12581,271,1773,22
tiff2ps,8888,190,1134,15,9324,206,1230,16,8872,191,1134,11
xmllint,7942,302,716,15,8013,306,715,15,7843,301,713,15
sum,90660,2230,14701,515,91084,2249,14889,498,88323,2178,14194,487
run5,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,11890,145,3873,134,11917,145,3873,134,12244,146,3950,144
jasper,10681,471,1761,46,10952,475,1801,47,10754,468,1804,45
readelf,1997,50,153,26,2216,52,167,31,1939,50,152,28
objdump,9197,270,970,72,9888,277,1060,95,10302,293,1110,100
tcpdump,24751,456,3974,166,22700,446,3593,131,24480,493,3930,148
tiff2pdf,13349,291,1956,18,13252,287,1947,18,13051,287,1936,22
tiff2ps,9390,208,1244,15,9080,192,1182,12,8893,190,1135,16
xmllint,8024,306,720,15,8162,310,723,15,7894,302,719,17
sum,89279,2197,14651,492,88167,2184,14346,483,89557,2229,14736,520
overall,top 10%,,,,top 20%,,,,top 40%,,,
,cov,func,reach,san,cov,func,reach,san,cov,func,reach,san
djpeg,11974.8,144.4,3893,136.2,12050,145.2,3902,136,12179,145.4,3934.2,139.6
jasper,10851.2,471.4,1791.2,43.6,10945.4,473.4,1804.2,47.6,10721.6,469.6,1782.6,42.4
readelf,2045.8,51.2,161.8,28.2,1980.2,50.4,151.4,26.6,2089.4,52,169.2,29.4
objdump,9714.6,277,1060.8,86.4,9823.6,276,1063,95.6,10245.6,290.2,1117.8,97.2
tcpdump,25453.6,497.6,4031.2,158.4,24632.6,485.2,3911,143,24685.4,474,3899,153.2
tiff2pdf,13157.8,285.8,1921,19.2,13096.4,285.4,1916.2,17.8,12779.2,276.8,1844.6,19
tiff2ps,8996,195,1159.6,14.4,9147.4,199.2,1192.4,13.4,9016.8,196,1156.2,14.2
xmllint,7988.6,305,713,15.2,7995.8,305,717.6,15.2,7931,303,714.4,14.6
sum,90182.4,2227.4,14731.6,501.6,89671.4,2219.8,14657.8,495.2,89648,2207,14618,509.6
,0.60%,0.92%,0.78%,2.91%,,,,,,,,
