run1,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,11648,3871,134,12013,3899,134,11536,3863,134,12085,3901,134,12717,4029,145,11646,3899,134,12765,4040,142,12091,3901,134,11867,3875,134,11950,3901,134
jasper,10186,1702,35,9696,1508,47,9177,1448,34,9044,1443,33,9647,1508,46,10011,1693,32,10728,1785,45,10097,1690,33,9183,1455,32,10579,1756,44
readelf,1975,174,31,1804,145,25,1782,141,23,2040,178,28,1815,141,24,1803,144,26,1859,147,26,1848,145,26,1845,146,25,1841,146,25
objdump,9675,1041,86,9775,1058,95,10086,1063,103,10591,1202,96,9240,981,74,10333,1171,96,9803,1047,94,10567,1190,95,9205,974,76,10077,1151,94
tcpdump,28173,4368,158,25435,3870,126,27135,4214,158,25825,4083,147,28775,4575,168,26513,4178,153,25243,3905,158,27381,4272,185,26485,4228,167,25672,4036,160
tiff2pdf,12719,1791,19,13093,1931,16,13233,1943,18,12350,1773,19,13263,1936,17,13282,1949,26,13468,1982,22,13315,1965,24,12514,1760,16,11231,1357,25
tiff2ps,9284,1207,18,8994,1164,14,8904,1145,15,9181,1191,17,8901,1137,10,8700,1127,13,9020,1170,18,8847,1133,11,8940,1150,15,9258,1193,17
xmllint,8231,724,15,8035,721,18,8126,718,17,8233,741,15,8077,717,16,8135,725,16,8055,718,16,8209,723,16,8216,727,15,7848,715,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run2,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,12109,3901,134,12057,3899,134,11686,3899,134,11811,3875,134,11841,3873,134,12011,3899,134,12749,4038,145,12480,3987,141,11685,3871,134,12727,4038,144
