,FishFuzz,,,,,,,,,,AFL++,,,,,,,,,,TortoiseFuzz,,,,,,,,,,ParmeSan,,,,,,,,,,Fish++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
exiv2,21175,19230,17041,20266,19319,19856,19741,17524,19522,20065,20982,20749,7900,21718,21208,22310,21020,21582,20815,20612,7898,7898,7900,8050,7896,7900,14887,7898,7898,7900,0,0,0,0,0,0,0,0,0,0,16948,21434,20278,21906,21895,21947,20985,22587,21201,22810,7932,15326,19684,20967,7936,7932,7934,7843,7928,7927
flvmeta,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,996,994,994,994,994,994,995,994,995,994,994,978,939,961,976,968,977,951,972,957,939,996,990,988,996,996,996,996,996,996,996,996,996,996,988,996,996,996,996,996,996
MP4Box,15280,14998,12289,15502,12048,12585,15120,14882,11848,12959,10136,9570,9098,9344,9201,9063,8871,9043,9678,9203,9928,9913,10058,9545,9768,9585,11171,9404,9755,9423,8681,10836,8987,12063,11408,9794,10294,11591,12326,8130,10517,10595,12831,12986,10310,11739,13762,10978,11040,11048,12400,11023,10780,10752,11392,13229,11003,11244,12326,11093
lou_checktable,2795,2704,2049,2869,2602,2015,2691,2787,2893,2651,1940,2587,1948,1948,1927,2618,2516,1942,1953,1940,2572,2173,2149,2141,2145,2702,2585,2641,2163,2656,1758,1762,1767,1754,1773,1756,1756,1762,1758,1756,2352,3154,2397,3130,2336,3121,3108,3104,3109,2352,1989,2777,2001,2773,2790,2766,2773,2787,2725,2823
tiff2pdf,18797,18320,17612,18930,18375,18681,18528,18695,19020,18218,17848,18044,17614,18288,17904,17680,18169,17767,18045,17836,15624,15809,15874,16079,15379,16404,15659,15154,16118,16409,10807,10657,13721,14098,10557,12354,12881,9584,11645,14392,18951,18238,18774,18162,18590,18178,18539,18772,17883,18574,18009,18049,17944,18026,18126,18166,18054,17969,18014,18121
nasm,11134,11534,11561,11718,11138,10990,10973,11005,11428,11472,11741,11724,11330,11700,11776,10978,11133,11713,11539,11783,10114,10244,10018,10097,10371,10245,10538,10509,10234,10380,8668,8459,8504,8464,8342,8311,8493,8452,8356,8370,12096,11896,12079,12573,11922,12494,11772,11798,12119,11740,11159,11351,10729,10888,11036,10697,10940,10774,11144,11027
tcpprep,1061,1038,1051,1038,1029,1061,1038,1038,1035,1038,1038,1036,1038,1038,1038,1038,1038,1038,1038,1038,978,1022,964,1019,976,1015,972,971,1020,1021,0,0,0,0,0,0,0,0,0,0,1027,816,1029,816,1025,768,1029,1037,1029,1035,1031,1028,1031,1031,1031,1031,1031,1031,1033,1028
catdoc,707,707,707,707,707,707,707,707,707,707,418,418,418,418,418,418,418,418,418,418,688,705,654,693,681,708,600,702,702,693,0,0,0,0,0,0,0,0,0,0,418,418,418,418,418,418,418,418,418,418,706,707,703,703,702,707,707,706,706,703
tcpdump,25482,26320,26443,26274,26439,28163,26357,25801,28888,23731,23124,23588,21652,23813,22894,22237,23485,22576,24250,22869,16460,16652,17375,16789,17066,16452,16702,16096,16891,16191,0,0,0,0,0,0,0,0,0,0,31756,28837,29577,30302,27903,29468,29122,30743,28254,30057,24775,25926,24743,24282,25820,24727,25998,24973,24044,24813
nm-new,15269,15258,15577,14889,16096,15347,15403,16005,15158,15585,15312,15448,15243,15492,15865,15855,13996,16188,15996,14909,13672,13204,13157,12679,13205,13038,13146,13044,13929,13159,8696,8728,9279,9814,9914,8158,8569,9312,8976,13607,16130,15282,15378,15983,15419,15637,15446,15676,15505,15871,13675,14743,14156,13672,13811,14450,15054,12331,14299,13796
gif2tga,748,751,742,752,748,742,748,748,744,748,746,747,746,747,739,747,741,748,744,747,740,730,738,736,730,736,739,738,736,729,719,716,738,721,734,738,717,688,738,720,742,748,744,737,748,748,747,746,741,738,731,727,727,727,718,721,725,737,731,737
