,FishFuzz,,,,,,,,,,AFL++,,,,,,,,,,TortoiseFuzz,,,,,,,,,,ParmeSan,,,,,,,,,,Fish++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
exiv2,10038,9476,8735,9765,9535,9709,9592,8912,9643,9836,10103,9960,5640,10282,10056,10445,10105,10202,10027,9945,5639,5639,5640,5697,5638,5640,8069,5639,5639,5640,0,0,0,0,0,0,0,0,0,0,8752,10192,9923,10345,10469,10406,10104,10654,10165,10676,5664,8300,9651,10071,5666,5664,5665,5635,5664,5660
flvmeta,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,150,150,150,150,150,150,150,150,150,150,152,151,150,152,152,152,152,152,152,152,152,152,152,150,152,152,152,152,152,152
MP4Box,1865,1776,1556,1685,1463,1593,1821,1782,1487,1606,1260,1224,1189,1225,1202,1218,1187,1210,1235,1205,1251,1240,1230,1207,1235,1221,1381,1198,1222,1204,1057,1236,1093,1288,1231,1067,1071,1266,1323,976,1297,1283,1481,1446,1282,1393,1536,1333,1318,1344,1493,1396,1296,1305,1403,1575,1317,1381,1503,1381
lou_checktable,258,243,195,274,238,189,246,259,280,242,171,222,174,174,172,222,223,171,175,171,223,198,193,192,193,242,228,236,198,238,138,140,140,138,142,138,138,139,138,138,267,338,277,338,259,331,331,323,327,263,187,253,189,253,255,251,253,259,243,264
tiff2pdf,3603,3443,3244,3574,3466,3504,3482,3530,3604,3399,3348,3380,3284,3446,3364,3334,3407,3301,3414,3337,2934,2958,2966,2985,2896,3034,2982,2959,2993,3070,2182,2207,2637,2814,2225,2593,2546,1983,2412,2768,3637,3440,3555,3418,3530,3467,3502,3549,3342,3509,3337,3332,3313,3345,3333,3355,3358,3325,3330,3343
nasm,1818,1905,1888,1952,1827,1827,1798,1814,1889,1888,1912,1922,1825,1937,1930,1784,1823,1943,1880,1941,1665,1697,1673,1665,1710,1703,1734,1713,1699,1725,1518,1496,1493,1484,1477,1476,1498,1491,1485,1481,2027,1979,2024,2143,2009,2118,1949,1948,2061,1925,1768,1859,1720,1724,1759,1714,1740,1713,1770,1750
tcpprep,213,212,212,212,212,213,212,212,212,212,212,211,212,212,212,212,212,212,212,212,208,211,208,211,208,211,208,208,211,211,0,0,0,0,0,0,0,0,0,0,211,134,208,135,211,131,212,213,212,210,209,209,209,209,209,209,209,209,209,209
catdoc,121,121,121,121,121,121,121,121,121,121,80,80,80,80,80,80,80,80,80,80,119,122,114,122,121,122,105,122,122,122,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,80,121,121,120,120,120,121,121,121,121,120
tcpdump,5610,5964,5866,5797,5955,6400,5906,5880,6545,5317,5121,5253,4761,5293,5126,4950,5241,5039,5471,5063,3321,3370,3544,3413,3452,3329,3337,3217,3413,3246,0,0,0,0,0,0,0,0,0,0,7326,6525,6820,6822,6378,6792,6653,7084,6378,6881,5085,5472,5064,5082,5501,5103,5446,5116,4907,5100
nm-new,3654,3650,3734,3578,3916,3688,3691,3889,3638,3876,3715,3724,3658,3730,3872,3886,3430,3946,3913,3685,3250,3097,3069,3048,3106,3096,3119,3059,3309,3080,2519,2561,2660,2753,2833,2404,2483,2668,2601,3612,3932,3670,3695,3913,3709,3774,3721,3841,3724,3908,3125,3407,3310,3147,3186,3362,3519,2875,3267,3179
gif2tga,133,133,130,135,133,130,133,133,131,133,132,133,133,133,132,133,133,133,133,133,129,124,128,127,124,127,128,128,127,124,128,120,131,122,129,131,121,121,131,123,132,133,133,130,133,133,133,133,133,130,126,123,123,123,120,120,122,128,126,128
