,FishFuzz,,,,,,,,,,Fish++,,,,,,,,,,SAVIOR,,,,,,,,,,AFL++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
djpeg,12088,12833,12505,12648,12061,11906,12091,11917,12595,12174,12732,12136,11856,12450,12072,12554,12731,12000,11938,11829,11808,11825,11985,11772,11813,12256,11973,11935,11847,11798,12503,12404,12749,12373,12442,12525,12315,12314,11804,12524,11848,11822,11712,11887,11911,11823,11720,11846,12010,11890
jasper,10960,9992,11136,11138,10696,10716,10755,10563,10864,10119,9292,10648,10672,10158,9240,10005,10301,9840,10293,9205,10916,11032,10894,10921,10777,9851,9860,9763,11011,9880,11048,10739,10287,10745,10666,9948,10769,10740,10038,10371,10491,10321,10607,10572,10442,10294,9557,10231,10524,10099
readelf,1962,1970,2192,1915,2001,2081,2170,2169,1953,2006,2099,1761,1760,1800,1781,1689,1892,1813,1790,1852,1979,2139,2122,1925,2050,1937,2475,1944,2130,2085,1836,1796,1839,1981,1819,2178,1799,1896,1825,1884,1799,1801,1879,1724,1826,2016,2016,1832,2053,2010
objdump,10905,10181,10437,10185,9926,10005,9734,9779,9909,10130,10612,9960,9923,9553,10787,8827,10471,10437,10097,10458,0,0,0,0,0,0,0,0,0,0,9104,9720,9547,9215,9627,8849,8743,9666,9506,9801,9835,9884,9707,9920,9957,10070,9382,9549,9545,10152
tcpdump,25100,24796,24862,22628,24731,25758,23521,25810,24477,24467,24157,24455,26595,27000,26122,26333,21983,24954,26889,27416,20216,20490,19591,20747,19206,18890,20361,20172,20193,20233,24489,22758,20163,24364,19713,22935,22114,22623,23827,22553,22976,22871,24649,23520,25243,22420,24884,24298,25758,25370
tiff2pdf,13236,12707,13220,13291,12962,13468,13244,13388,13198,12937,12393,13442,13593,13299,13034,12664,12667,13171,12386,13375,12287,12297,12385,12636,12663,12558,12995,13381,12193,12417,12651,13141,13261,13238,13439,12364,13099,13041,12524,12971,13223,13405,12807,12956,13366,13433,13339,13317,13187,13346
tiff2ps,9203,9456,8914,9054,8823,9022,8970,9167,9056,9094,8955,8823,8914,8993,8825,8945,8952,8992,9320,9283,8957,8844,8653,9177,8765,8715,8608,8731,8717,8692,8738,8763,8882,8610,8818,8740,8708,8737,8750,8870,9088,9067,8977,9046,9089,8990,9037,9124,9055,9016
xmllint,8112,8054,7880,8264,8107,8069,7899,7918,7914,8141,8069,8138,8216,8161,8098,8148,7895,8087,8063,7916,7708,7872,7713,7796,7817,7878,7768,7858,7691,7945,8034,8823,7800,7924,8753,8066,8150,8476,8085,8145,8210,7513,8205,7836,8208,8201,8383,7279,7563,8004
