,FishFuzz,,,,,,,,,,Fish++,,,,,,,,,,SAVIOR,,,,,,,,,,AFL++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
djpeg,3899,4038,3998,4013,3899,3873,3899,3878,4008,3901,4040,3923,3901,4011,3914,4040,4039,3899,3899,3866,3869,3868,3883,3849,3865,3932,3873,3868,3873,3863,4013,3980,4038,3971,4005,4006,4004,3991,3863,4006,3871,3870,3852,3875,3870,3851,3852,3871,3875,3874
jasper,1798,1579,1865,1862,1759,1771,1761,1740,1794,1585,1485,1760,1760,1693,1454,1691,1761,1674,1679,1453,1789,1799,1788,1788,1764,1480,1482,1474,1796,1487,1800,1761,1705,1758,1759,1522,1758,1765,1549,1712,1737,1709,1747,1761,1733,1723,1446,1702,1740,1524
readelf,155,156,176,146,155,171,194,179,147,158,171,140,129,138,130,126,151,144,141,147,152,182,191,147,177,148,221,146,188,184,146,138,146,159,145,202,145,153,142,148,141,142,164,132,141,157,154,137,158,157
objdump,1215,1073,1113,1141,1052,1072,1048,1058,1080,1075,1193,1084,1057,1098,1217,961,1187,1183,1069,1181,0,0,0,0,0,0,0,0,0,0,966,1038,990,965,1054,878,913,1053,1038,1060,1059,1062,1009,1062,1070,1078,1013,990,987,1072
tcpdump,4013,3815,3928,3488,3869,4112,3658,4158,3832,3763,3758,3856,4217,4290,4070,4226,3385,3951,4171,4407,3180,3159,3062,3231,2912,2975,3167,3167,3114,3107,3759,3542,3085,3758,3020,3617,3286,3526,3616,3511,3530,3516,3697,3609,3902,3445,3876,3616,4000,3902
tiff2pdf,1946,1814,1940,1958,1937,1949,1959,2008,1937,1880,1775,1980,2021,1957,1837,1815,1800,1941,1755,1972,1770,1758,1789,1819,1814,1809,1904,1994,1771,1767,1813,1956,1962,1980,1996,1737,1949,1929,1822,1930,1957,1977,1819,1852,1972,1981,1956,1952,1924,1966
tiff2ps,1191,1232,1166,1157,1143,1161,1162,1168,1173,1168,1157,1134,1143,1173,1136,1156,1155,1142,1207,1195,1145,1121,1099,1200,1122,1120,1104,1130,1112,1128,1118,1110,1137,1095,1136,1119,1109,1112,1124,1128,1161,1172,1162,1164,1170,1152,1167,1180,1163,1159
xmllint,718,715,717,744,729,718,716,727,720,726,714,721,723,719,729,721,710,717,716,716,705,713,716,708,698,716,712,699,704,712,714,784,718,711,734,733,731,752,725,745,704,662,698,691,715,716,730,654,671,695
