,FishFuzz,,,,,,,,,,Fish++,,,,,,,,,,SAVIOR,,,,,,,,,,AFL++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
djpeg,134,145,145,144,134,134,134,134,144,134,145,134,134,143,134,143,143,134,134,134,134,134,134,134,134,137,134,134,134,134,143,144,142,143,143,143,143,141,134,143,134,134,134,134,134,134,134,134,134,134
jasper,54,46,48,55,49,38,58,36,50,59,33,45,45,38,34,32,40,29,49,34,39,51,33,42,30,42,44,37,46,43,64,54,51,58,55,51,64,50,55,41,30,36,42,33,31,30,43,32,41,49
readelf,27,29,28,26,30,31,30,27,27,28,25,22,19,23,21,18,26,25,24,27,21,21,21,20,21,22,23,20,21,20,25,23,24,31,25,39,25,27,24,24,18,17,20,14,21,30,25,16,32,25
objdump,98,95,107,95,93,95,94,95,92,94,100,94,95,71,98,71,96,94,94,94,0,0,0,0,0,0,0,0,0,0,89,93,99,92,95,84,84,96,94,96,97,96,96,96,98,94,91,93,93,95
tcpdump,168,163,158,147,139,163,160,150,148,130,160,150,151,158,146,146,142,157,159,178,110,107,106,112,106,112,113,113,97,103,133,144,123,134,122,135,140,138,136,136,141,130,157,130,163,141,138,142,160,137
tiff2pdf,20,20,17,23,17,18,16,20,18,23,16,21,22,23,23,16,16,21,18,20,14,15,17,10,20,17,14,20,13,20,19,13,19,20,23,16,16,16,15,17,16,15,15,14,19,20,17,17,14,15
tiff2ps,23,17,13,13,13,13,14,14,18,17,15,11,16,13,11,11,15,17,13,17,15,11,8,21,11,12,9,10,11,10,11,10,8,9,15,11,12,11,9,9,17,9,17,13,14,12,13,12,15,13
xmllint,15,15,15,15,15,15,17,15,15,15,15,17,16,16,15,16,16,15,17,16,13,14,14,13,8,14,13,8,13,14,10,18,14,15,14,15,15,15,15,15,15,10,10,15,15,14,16,10,10,14
